                       OLS Regression Results                      
Dep. Variable:   ,click_bool      ,  R-squared:         ,   0.039  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.039  
Method:          ,Least Squares   ,  F-statistic:       ,   156.3  
Date:            ,Tue, 11 May 2021,  Prob (F-statistic):,  0.00    
Time:            ,23:22:27        ,  Log-Likelihood:    ,8.7973e+05
No. Observations:,4958347         ,  AIC:               ,-1.757e+06
Df Residuals:    ,4957043         ,  BIC:               ,-1.739e+06
Df Model:        ,  1303          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x1   ,-7.286e-05, 4.66e-05,   -1.563, 0.118,   -0.000, 1.85e-05
x2   ,   -0.0001, 4.67e-05,   -2.238, 0.025,   -0.000, -1.3e-05
x3   ,    0.0063,    0.002,    2.642, 0.008,    0.002,    0.011
x4   ,    0.0031,    0.002,    1.338, 0.181,   -0.001,    0.008
x5   ,    0.0104,    0.007,    1.413, 0.158,   -0.004,    0.025
x6   ,    0.0088,    0.002,    4.051, 0.000,    0.005,    0.013
x7   ,    0.2755,    0.026,   10.545, 0.000,    0.224,    0.327
x8   ,   -0.0007,    0.001,   -0.469, 0.639,   -0.004,    0.002
x9   ,    0.0022,    0.000,    8.564, 0.000,    0.002,    0.003
x10  , 4.164e-06, 2.91e-06,    1.430, 0.153,-1.54e-06, 9.87e-06
x11  ,   -0.0023,    0.010,   -0.227, 0.820,   -0.022,    0.017
x12  , 8.161e-07,  3.3e-07,    2.474, 0.013, 1.69e-07, 1.46e-06
x13  ,    0.0024,    0.002,    1.561, 0.118,   -0.001,    0.005
x14  , 5.595e-05, 6.59e-05,    0.850, 0.396,-7.31e-05,    0.000
x15  ,    0.0116,    0.004,    3.166, 0.002,    0.004,    0.019
x16  ,   -0.0130,    0.004,   -2.969, 0.003,   -0.022,   -0.004
x17  ,   -0.0075,    0.007,   -1.057, 0.291,   -0.022,    0.006
x18  ,    0.0074,    0.006,    1.183, 0.237,   -0.005,    0.020
x19  ,-1.414e-07, 2.13e-06,   -0.066, 0.947,-4.31e-06, 4.03e-06
x20  ,    0.0120,    0.007,    1.788, 0.074,   -0.001,    0.025
x21  , 4.159e-07, 1.44e-07,    2.892, 0.004, 1.34e-07, 6.98e-07
x22  ,-2.949e-06, 1.03e-05,   -0.286, 0.775,-2.32e-05, 1.73e-05
x23  , 2.091e-05, 9.38e-06,    2.228, 0.026, 2.52e-06, 3.93e-05
x24  , -5.53e-05, 2.47e-05,   -2.240, 0.025,   -0.000,-6.92e-06
x25  , 1.998e-05,  7.6e-06,    2.628, 0.009, 5.08e-06, 3.49e-05
x26  ,-7.421e-05, 8.37e-05,   -0.887, 0.375,   -0.000, 8.98e-05
x27  , 3.957e-06,  5.7e-06,    0.694, 0.488,-7.22e-06, 1.51e-05
x28  , 8.748e-07, 1.02e-06,    0.859, 0.390,-1.12e-06, 2.87e-06
x29  ,   7.9e-09, 1.27e-08,    0.621, 0.534, -1.7e-08, 3.28e-08
x30  ,-5.344e-05,  2.9e-05,   -1.842, 0.065,   -0.000, 3.41e-06
x31  ,-1.349e-09, 1.26e-09,   -1.068, 0.286,-3.83e-09, 1.13e-09
x32  ,-1.429e-06, 4.94e-06,   -0.289, 0.772,-1.11e-05, 8.25e-06
x33  ,-4.564e-07, 2.01e-07,   -2.269, 0.023,-8.51e-07,-6.21e-08
x34  ,-9.455e-07, 1.37e-05,   -0.069, 0.945,-2.77e-05, 2.58e-05
x35  ,-1.419e-06, 1.55e-05,   -0.092, 0.927,-3.17e-05, 2.89e-05
x36  ,-7.529e-06, 2.91e-05,   -0.259, 0.796,-6.45e-05, 4.94e-05
x37  ,-3.471e-06, 2.28e-05,   -0.152, 0.879,-4.81e-05, 4.12e-05
x38  ,-1.797e-09, 6.52e-09,   -0.275, 0.783,-1.46e-08,  1.1e-08
x39  ,-3.111e-05, 2.36e-05,   -1.320, 0.187,-7.73e-05, 1.51e-05
