                           OLS Regression Results                           
Dep. Variable:   ,click_bool      ,  R-squared (uncentered):     ,   0.080  
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.080  
Method:          ,Least Squares   ,  F-statistic:                ,   615.1  
Date:            ,Thu, 06 May 2021,  Prob (F-statistic):         ,  0.00    
Time:            ,14:21:03        ,  Log-Likelihood:             ,2.5910e+05
No. Observations:,1487504         ,  AIC:                        ,-5.178e+05
Df Residuals:    ,1487294         ,  BIC:                        ,-5.152e+05
Df Model:        ,   210          ,                              ,          
Covariance Type: ,nonrobust       ,                              ,          
    ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x1  ,-1.137e-06, 1.88e-05,   -0.061, 0.952,-3.79e-05, 3.57e-05
x2  , 4.956e-05,  1.9e-05,    2.611, 0.009, 1.24e-05, 8.68e-05
x3  ,    0.0095,    0.001,    8.945, 0.000,    0.007,    0.012
x4  ,    0.0131,    0.001,   13.054, 0.000,    0.011,    0.015
x5  ,    0.0049,    0.003,    1.805, 0.071,   -0.000,    0.010
x6  ,    0.0027,    0.001,    3.089, 0.002,    0.001,    0.004
x7  ,    0.3016,    0.010,   31.485, 0.000,    0.283,    0.320
x8  ,   -0.0003,    0.001,   -0.455, 0.649,   -0.001,    0.001
x9  ,   -0.0026,    0.000,  -25.340, 0.000,   -0.003,   -0.002
x10 ,-4.456e-07,  2.2e-07,   -2.028, 0.043,-8.76e-07,-1.49e-08
x11 ,    0.0197,    0.003,    5.887, 0.000,    0.013,    0.026
x12 , 4.103e-07, 1.33e-07,    3.075, 0.002, 1.49e-07, 6.72e-07
x13 ,    0.0004,    0.001,    0.632, 0.527,   -0.001,    0.002
x14 ,-2.369e-05, 2.46e-05,   -0.962, 0.336,-7.19e-05, 2.46e-05
x15 ,    0.0026,    0.002,    1.691, 0.091,   -0.000,    0.006
x16 ,    0.0013,    0.002,    0.759, 0.448,   -0.002,    0.005
x17 ,    0.0184,    0.003,    6.172, 0.000,    0.013,    0.024
x18 ,    0.0059,    0.002,    2.425, 0.015,    0.001,    0.011
x19 , 8.938e-08, 7.72e-07,    0.116, 0.908,-1.42e-06,  1.6e-06
x20 ,   -0.0238,    0.003,   -9.165, 0.000,   -0.029,   -0.019
x21 ,-1.966e-08, 4.21e-08,   -0.467, 0.640,-1.02e-07, 6.28e-08
x22 , 1.131e-05, 3.11e-06,    3.634, 0.000, 5.21e-06, 1.74e-05
x23 ,-5.236e-06, 2.83e-06,   -1.850, 0.064,-1.08e-05, 3.11e-07
x24 ,-2.017e-05, 6.47e-06,   -3.118, 0.002,-3.29e-05,-7.49e-06
x25 ,-3.336e-06, 2.13e-06,   -1.566, 0.117,-7.51e-06, 8.39e-07
x26 ,-1.998e-05, 2.21e-05,   -0.905, 0.365,-6.32e-05, 2.33e-05
x27 , 1.544e-06, 1.63e-06,    0.948, 0.343,-1.65e-06, 4.74e-06
x28 , 1.338e-06, 2.93e-07,    4.572, 0.000, 7.65e-07, 1.91e-06
x29 , 4.798e-11, 7.12e-10,    0.067, 0.946,-1.35e-09, 1.44e-09
x30 , 2.857e-06, 7.08e-06,    0.403, 0.687, -1.1e-05, 1.67e-05
x31 ,-6.555e-10,  3.6e-10,   -1.818, 0.069,-1.36e-09,  5.1e-11
x32 , 2.936e-07, 1.38e-06,    0.212, 0.832,-2.42e-06,    3e-06
x33 ,-5.814e-08, 5.39e-08,   -1.078, 0.281,-1.64e-07, 4.75e-08
x34 , 3.953e-06, 3.89e-06,    1.017, 0.309,-3.67e-06, 1.16e-05
x35 , 2.396e-06, 4.24e-06,    0.565, 0.572,-5.91e-06, 1.07e-05
x36 ,-1.872e-05,  7.8e-06,   -2.400, 0.016, -3.4e-05,-3.43e-06
x37 ,-1.003e-05, 6.34e-06,   -1.583, 0.114,-2.25e-05, 2.39e-06
x38 , 3.542e-10,  1.8e-09,    0.196, 0.844,-3.18e-09, 3.89e-09
x39 ,-4.205e-06, 6.57e-06,   -0.639, 0.522,-1.71e-05, 8.68e-06
x40 , 3.265e-06, 3.12e-06,    1.046, 0.295,-2.85e-06, 9.38e-06
x41 ,-8.736e-06, 2.77e-06,   -3.149, 0.002,-1.42e-05, -3.3e-06
x42 ,-2.568e-05, 6.37e-06,   -4.033, 0.000,-3.82e-05,-1.32e-05
x43 ,-7.203e-06,  2.1e-06,   -3.435, 0.001,-1.13e-05,-3.09e-06
x44 ,   -0.0001, 2.21e-05,   -5.004, 0.000,   -0.000,-6.72e-05
x45 ,-1.329e-06, 1.63e-06,   -0.814, 0.415,-4.53e-06, 1.87e-06
x46 , 1.577e-06, 2.99e-07,    5.268, 0.000, 9.91e-07, 2.16e-06
x47 ,-8.602e-10,  6.8e-10,   -1.264, 0.206,-2.19e-09, 4.73e-10
x48 , 2.266e-05, 7.06e-06,    3.207, 0.001, 8.81e-06, 3.65e-05
x49 ,-2.845e-10, 3.69e-10,   -0.770, 0.441,-1.01e-09,  4.4e-10
x50 ,-1.265e-06, 1.38e-06,   -0.919, 0.358,-3.97e-06, 1.43e-06
x51 , 9.543e-08, 5.32e-08,    1.794, 0.073,-8.81e-09,    2e-07
x52 ,-7.234e-06, 4.05e-06,   -1.788, 0.074,-1.52e-05, 6.96e-07
x53 ,-6.889e-06, 4.52e-06,   -1.524, 0.128,-1.58e-05, 1.97e-06
x54 , 1.065e-05, 8.12e-06,    1.311, 0.190,-5.27e-06, 2.66e-05
x55 ,-3.618e-06, 6.43e-06,   -0.563, 0.574,-1.62e-05, 8.99e-06
x56 ,-1.228e-09, 1.48e-09,   -0.828, 0.408,-4.14e-09, 1.68e-09
x57 ,-4.928e-06, 6.64e-06,   -0.742, 0.458,-1.79e-05, 8.09e-06
x58 ,   -0.0012,    0.000,   -8.539, 0.000,   -0.001,   -0.001
x59 ,    0.0002,    0.000,    0.421, 0.674,   -0.001,    0.001
x60 ,   -0.0008,    0.000,   -6.297, 0.000,   -0.001,   -0.001
x61 ,    0.0002,    0.001,    0.121, 0.904,   -0.003,    0.003
x62 ,-7.288e-05,  9.6e-05,   -0.759, 0.448,   -0.000,    0.000
x63 ,   -0.0002, 1.77e-05,  -10.795, 0.000,   -0.000,   -0.000
x64 ,  2.09e-08, 2.51e-08,    0.833, 0.405,-2.83e-08, 7.01e-08
x65 ,    0.0003,    0.001,    0.597, 0.550,   -0.001,    0.001
x66 ,  2.96e-08, 2.22e-08,    1.332, 0.183, -1.4e-08, 7.32e-08
x67 ,   -0.0003, 9.22e-05,   -2.726, 0.006,   -0.000,-7.06e-05
x68 ,-6.722e-07, 3.61e-06,   -0.186, 0.852,-7.75e-06,  6.4e-06
x69 ,    0.0002,    0.000,    0.659, 0.510,   -0.000,    0.001
x70 ,    0.0006,    0.000,    2.422, 0.015,    0.000,    0.001
x71 ,   -0.0013,    0.001,   -2.340, 0.019,   -0.002,   -0.000
x72 ,-8.807e-05,    0.000,   -0.233, 0.816,   -0.001,    0.001
x73 ,-1.223e-07, 1.07e-07,   -1.141, 0.254,-3.32e-07, 8.78e-08
x74 ,    0.0044,    0.000,   11.017, 0.000,    0.004,    0.005
x75 , 1.375e-05,    0.000,    0.036, 0.972,   -0.001,    0.001
x76 ,   -0.0008,    0.000,   -7.294, 0.000,   -0.001,   -0.001
x77 ,    0.0087,    0.002,    5.269, 0.000,    0.005,    0.012
x78 ,   -0.0002, 8.85e-05,   -1.752, 0.080,   -0.000, 1.84e-05
x79 ,   -0.0001, 1.73e-05,   -8.107, 0.000,   -0.000,   -0.000
x80 , 1.541e-09,  1.2e-08,    0.129, 0.898,-2.19e-08,  2.5e-08
x81 ,    0.0009,    0.001,    1.691, 0.091,   -0.000,    0.002
x82 ,-3.222e-08, 2.09e-08,   -1.545, 0.122,-7.31e-08, 8.66e-09
x83 ,-3.433e-05, 8.05e-05,   -0.426, 0.670,   -0.000,    0.000
x84 , 1.573e-05, 3.39e-06,    4.638, 0.000, 9.08e-06, 2.24e-05
x85 ,   -0.0004,    0.000,   -1.632, 0.103,   -0.001, 8.08e-05
x86 ,    0.0007,    0.000,    2.774, 0.006,    0.000,    0.001
x87 ,   -0.0009,    0.001,   -1.679, 0.093,   -0.002,    0.000
x88 ,   -0.0002,    0.000,   -0.508, 0.611,   -0.001,    0.001
x89 , 2.312e-07, 9.24e-08,    2.502, 0.012, 5.01e-08, 4.12e-07
x90 , -7.33e-06,    0.000,   -0.020, 0.984,   -0.001,    0.001
x91 ,   -0.0002,    0.000,   -0.804, 0.422,   -0.001,    0.000
x92 ,   -0.0113,    0.003,   -3.820, 0.000,   -0.017,   -0.005
x93 ,    0.0003,    0.000,    1.550, 0.121,-8.65e-05,    0.001
x94 , 6.384e-05, 3.79e-05,    1.686, 0.092,-1.04e-05,    0.000
x95 , 1.168e-08,  3.8e-08,    0.307, 0.758,-6.28e-08, 8.62e-08
x96 ,   -0.0011,    0.001,   -1.231, 0.218,   -0.003,    0.001
x97 , 5.066e-08, 4.69e-08,    1.080, 0.280,-4.13e-08, 1.43e-07
x98 ,-2.927e-05,    0.000,   -0.146, 0.884,   -0.000,    0.000
x99 ,-1.324e-05, 7.66e-06,   -1.729, 0.084,-2.83e-05, 1.77e-06
x100,    0.0002,    0.001,    0.465, 0.642,   -0.001,    0.001
x101,    0.0017,    0.001,    3.047, 0.002,    0.001,    0.003
x102,    0.0019,    0.001,    1.721, 0.085,   -0.000,    0.004
x103,    0.0023,    0.001,    2.828, 0.005,    0.001,    0.004
x104, 4.953e-07, 2.26e-07,    2.195, 0.028, 5.31e-08, 9.38e-07
x105,   -0.0010,    0.001,   -1.142, 0.254,   -0.003,    0.001
x106,   -0.0367,    0.001,  -40.953, 0.000,   -0.038,   -0.035
x107, 1.536e-05, 6.99e-05,    0.220, 0.826,   -0.000,    0.000
x108,    0.0004, 1.26e-05,   35.174, 0.000,    0.000,    0.000
x109,  1.92e-08, 2.43e-08,    0.788, 0.430,-2.85e-08, 6.69e-08
x110,   -0.0034,    0.000,  -10.680, 0.000,   -0.004,   -0.003
x111,-5.881e-08, 1.62e-08,   -3.630, 0.000,-9.06e-08,-2.71e-08
x112,    0.0002, 6.63e-05,    2.856, 0.004, 5.94e-05,    0.000
x113,-3.926e-06, 2.53e-06,   -1.552, 0.121,-8.88e-06, 1.03e-06
x114,   -0.0006,    0.000,   -3.322, 0.001,   -0.001,   -0.000
x115,   -0.0003,    0.000,   -1.557, 0.120,   -0.001, 7.55e-05
x116,    0.0016,    0.000,    4.427, 0.000,    0.001,    0.002
x117,   -0.0001,    0.000,   -0.471, 0.638,   -0.001,    0.000
x118,-4.622e-08, 7.34e-08,   -0.630, 0.529, -1.9e-07, 9.76e-08
x119,   -0.0003,    0.000,   -1.075, 0.282,   -0.001,    0.000
x120,-2.868e-05,    0.001,   -0.039, 0.969,   -0.001,    0.001
x121,   -0.0068,    0.000,  -51.688, 0.000,   -0.007,   -0.007
x122, 2.767e-07,  3.2e-07,    0.865, 0.387, -3.5e-07, 9.03e-07
x123,    0.0294,    0.003,    9.301, 0.000,    0.023,    0.036
x124, 4.553e-07, 1.61e-07,    2.836, 0.005, 1.41e-07,  7.7e-07
x125,   -0.0016,    0.001,   -2.215, 0.027,   -0.003,   -0.000
x126, 8.323e-06, 2.59e-05,    0.322, 0.748,-4.24e-05,  5.9e-05
x127,    0.0035,    0.002,    1.988, 0.047, 5.05e-05,    0.007
