         105324242 function calls (104113373 primitive calls) in 111.796 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.013    0.013  111.796  111.796 /mnt/d/Studie/Vrije Universiteit/Data Mining Techniques/assignment_2/preprocess_data.py:8(main)
        1    0.743    0.743  110.912  110.912 /mnt/d/Studie/Vrije Universiteit/Data Mining Techniques/assignment_2/data.py:136(normalise_price)
    96783    0.200    0.000   56.866    0.001 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/ops/common.py:50(new_method)
    96783    0.112    0.000   56.339    0.001 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/arraylike.py:27(__eq__)
    96783    0.375    0.000   56.227    0.001 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:4969(_cmp_method)
    96783    1.027    0.000   42.781    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:194(comparison_op)
    96299    0.500    0.000   35.973    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:118(_na_arithmetic_op)
    96299    0.150    0.000   35.332    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/computation/expressions.py:218(evaluate)
    96299    0.555    0.000   34.949    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/computation/expressions.py:98(_evaluate_numexpr)
    96299   28.896    0.000   30.210    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numexpr/necompiler.py:767(evaluate)
    48418    0.235    0.000   26.094    0.001 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:683(__setitem__)
    48418    0.286    0.000   20.194    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:1528(_setitem_with_indexer)
    48418    0.297    0.000   19.706    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:1639(_setitem_with_indexer_split_path)
    48390    0.250    0.000   18.902    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:1722(_setitem_with_indexer_2d_value)
